Frame_Index,Left_Elbow_Angle,Right_Elbow_Angle,Left_Knee_Angle,Right_Knee_Angle,Landmark_0_x,Landmark_1_x,Landmark_2_x,Landmark_3_x,Landmark_4_x,Landmark_5_x,Landmark_6_x,Landmark_7_x,Landmark_8_x,Landmark_9_x,Landmark_10_x,Landmark_11_x,Landmark_12_x,Landmark_13_x,Landmark_14_x,Landmark_15_x,Landmark_16_x,Landmark_17_x,Landmark_18_x,Landmark_19_x,Landmark_20_x,Landmark_21_x,Landmark_22_x,Landmark_23_x,Landmark_24_x,Landmark_25_x,Landmark_26_x,Landmark_27_x,Landmark_28_x,Landmark_29_x,Landmark_30_x,Landmark_31_x,Landmark_32_x,Landmark_0_y,Landmark_1_y,Landmark_2_y,Landmark_3_y,Landmark_4_y,Landmark_5_y,Landmark_6_y,Landmark_7_y,Landmark_8_y,Landmark_9_y,Landmark_10_y,Landmark_11_y,Landmark_12_y,Landmark_13_y,Landmark_14_y,Landmark_15_y,Landmark_16_y,Landmark_17_y,Landmark_18_y,Landmark_19_y,Landmark_20_y,Landmark_21_y,Landmark_22_y,Landmark_23_y,Landmark_24_y,Landmark_25_y,Landmark_26_y,Landmark_27_y,Landmark_28_y,Landmark_29_y,Landmark_30_y,Landmark_31_y,Landmark_32_y,Landmark_0_z,Landmark_1_z,Landmark_2_z,Landmark_3_z,Landmark_4_z,Landmark_5_z,Landmark_6_z,Landmark_7_z,Landmark_8_z,Landmark_9_z,Landmark_10_z,Landmark_11_z,Landmark_12_z,Landmark_13_z,Landmark_14_z,Landmark_15_z,Landmark_16_z,Landmark_17_z,Landmark_18_z,Landmark_19_z,Landmark_20_z,Landmark_21_z,Landmark_22_z,Landmark_23_z,Landmark_24_z,Landmark_25_z,Landmark_26_z,Landmark_27_z,Landmark_28_z,Landmark_29_z,Landmark_30_z,Landmark_31_z,Landmark_32_z
0,177.90710793397182,175.71680390967654,178.86350099648203,176.37599811289982,0.49855154752731323,0.17571187019348145,-0.2656881511211395,0.5062543153762817,0.1594889760017395,-0.23963698744773865,0.511445164680481,0.16103768348693848,-0.23973257839679718,0.5167417526245117,0.16290518641471863,-0.23990985751152039,0.49045342206954956,0.15720099210739136,-0.24223312735557556,0.48464640974998474,0.15802332758903503,-0.24224400520324707,0.479882150888443,0.15945571660995483,-0.24221055209636688,0.5246354341506958,0.17814600467681885,-0.09962492436170578,0.4721449017524719,0.1765424907207489,-0.10999725013971329,0.5086522102355957,0.20659756660461426,-0.21498027443885803,0.48824554681777954,0.20364950597286224,-0.2176888883113861,0.5670216083526611,0.31696322560310364,-0.04154403880238533,0.43096551299095154,0.31551694869995117,-0.030121996998786926,0.6526239514350891,0.3824496269226074,-0.13057948648929596,0.34650009870529175,0.3904622495174408,-0.10103919357061386,0.7310445308685303,0.4380224943161011,-0.3393920361995697,0.2634144425392151,0.4537545442581177,-0.2788340449333191,0.7586151361465454,0.4522726833820343,-0.37681666016578674,0.23521915078163147,0.4678505063056946,-0.3080120384693146,0.7548652291297913,0.456939160823822,-0.4117632508277893,0.23472607135772705,0.46683502197265625,-0.3502272665500641,0.7440106868743896,0.4556307792663574,-0.36036181449890137,0.24658682942390442,0.4643031358718872,-0.30276763439178467,0.5444682836532593,0.6191369295120239,-8.274619904113933e-05,0.45386356115341187,0.6152158975601196,0.000530335761141032,0.5421693325042725,0.7533754110336304,-0.46508002281188965,0.4439021944999695,0.7627859115600586,-0.41600197553634644,0.532776951789856,1.0073835849761963,-0.323159784078598,0.4427296221256256,1.0453567504882812,-0.33055803179740906,0.5317373275756836,1.0679700374603271,-0.3155735433101654,0.4496840536594391,1.0823434591293335,-0.3289840519428253,0.5355876088142395,1.141658902168274,-0.5003862977027893,0.43985238671302795,1.1502432823181152,-0.5243813991546631
1,179.9098660817299,173.69282466109166,179.6491230704807,178.08784575463838,0.49843889474868774,0.17482328414916992,-0.3549101948738098,0.5061905384063721,0.15851396322250366,-0.331224262714386,0.5111982822418213,0.15999683737754822,-0.3312852680683136,0.5158931016921997,0.16181862354278564,-0.3314571976661682,0.49040499329566956,0.15671135485172272,-0.3302456736564636,0.48465219140052795,0.1575039029121399,-0.33025339245796204,0.4798930287361145,0.15893098711967468,-0.3301891088485718,0.5233405232429504,0.17813724279403687,-0.1896156668663025,0.4722720980644226,0.1765432506799698,-0.1833530068397522,0.5086438655853271,0.20510989427566528,-0.30292537808418274,0.4881601929664612,0.20257297158241272,-0.3008360266685486,0.5672998428344727,0.317912220954895,-0.12782052159309387,0.43004345893859863,0.3173518180847168,-0.07721178978681564,0.6556013226509094,0.3832364082336426,-0.282351553440094,0.3464999198913574,0.3914811313152313,-0.17168422043323517,0.7300150990486145,0.43846800923347473,-0.5709025859832764,0.26373034715652466,0.4500330090522766,-0.3941711187362671,0.757114589214325,0.4523431062698364,-0.6215994954109192,0.2359074354171753,0.46271777153015137,-0.429898202419281,0.7526944875717163,0.456931471824646,-0.6520453691482544,0.23522265255451202,0.46211597323417664,-0.4693189561367035,0.7412644624710083,0.45551592111587524,-0.5912472009658813,0.24668054282665253,0.46002304553985596,-0.4178255498409271,0.5448459386825562,0.6186273694038391,-0.0035150169860571623,0.45352521538734436,0.6114730834960938,0.003923504613339901,0.5419711470603943,0.7503235936164856,-0.4606834352016449,0.44449901580810547,0.7549124956130981,-0.4010668694972992,0.5332355499267578,1.0627920627593994,-0.32925722002983093,0.4358498454093933,1.0483115911483765,-0.3119703531265259,0.5297380685806274,1.0988430976867676,-0.32481998205184937,0.4422423243522644,1.0882083177566528,-0.31157976388931274,0.534105658531189,1.163214921951294,-0.5225186944007874,0.4250887334346771,1.1505017280578613,-0.509670615196228
2,177.79361984255456,171.00435487670785,179.5046200425474,178.57710519120894,0.49843883514404297,0.173635795712471,-0.34567493200302124,0.5062119960784912,0.15754646062850952,-0.32091251015663147,0.5111761689186096,0.15909507870674133,-0.32098624110221863,0.5157448053359985,0.1609950214624405,-0.3211668133735657,0.4904244840145111,0.1558188945055008,-0.3207898437976837,0.48474955558776855,0.15651468932628632,-0.3207907974720001,0.4800228178501129,0.15780726075172424,-0.3207271993160248,0.5229556560516357,0.17813068628311157,-0.17911948263645172,0.47245121002197266,0.17633025348186493,-0.17717084288597107,0.5086670517921448,0.20359200239181519,-0.29402536153793335,0.48814740777015686,0.20120862126350403,-0.29315418004989624,0.5676589608192444,0.31827059388160706,-0.11983903497457504,0.42956042289733887,0.31843122839927673,-0.0754028782248497,0.6584928035736084,0.38227707147598267,-0.25511446595191956,0.34640222787857056,0.391171932220459,-0.16548560559749603,0.7310718297958374,0.43772175908088684,-0.5215650796890259,0.2638252377510071,0.4431360363960266,-0.38040241599082947,0.7574868202209473,0.4508175849914551,-0.5702605843544006,0.23592820763587952,0.45463261008262634,-0.41567835211753845,0.752758800983429,0.45279404520988464,-0.6025240421295166,0.23523876070976257,0.4534909129142761,-0.45661306381225586,0.7413043975830078,0.45135024189949036,-0.5425311923027039,0.24667362868785858,0.45182687044143677,-0.4048446714878082,0.5453125834465027,0.6184692978858948,-0.004706680309027433,0.45332732796669006,0.6099408268928528,0.005105218850076199,0.5418292880058289,0.7474512457847595,-0.45835310220718384,0.44384852051734924,0.7605946660041809,-0.38429445028305054,0.5307599306106567,1.0578596591949463,-0.33327871561050415,0.432786762714386,1.0515475273132324,-0.299049437046051,0.5288821458816528,1.1075363159179688,-0.32958847284317017,0.43890124559402466,1.0914044380187988,-0.2990875542163849,0.5336293578147888,1.1692367792129517,-0.5253492593765259,0.4214562773704529,1.1511316299438477,-0.4921620488166809
3,178.70062600646378,171.2198739555815,179.51873713415267,178.65134128641344,0.4984160363674164,0.17185679078102112,-0.3259550631046295,0.5062053203582764,0.15622925758361816,-0.301001638174057,0.5111068487167358,0.15775224566459656,-0.3010827898979187,0.5155287981033325,0.15963119268417358,-0.30126774311065674,0.49039798974990845,0.1546522080898285,-0.3015342056751251,0.4847516417503357,0.1553165763616562,-0.30153095722198486,0.480039119720459,0.15654392540454865,-0.30147287249565125,0.5228011012077332,0.17796637117862701,-0.16297471523284912,0.4725736677646637,0.17601238191127777,-0.16391946375370026,0.508734405040741,0.2018912434577942,-0.2758803963661194,0.48814281821250916,0.19959194958209991,-0.2758406400680542,0.567950427532196,0.3182213306427002,-0.10677806288003922,0.4295704960823059,0.31841930747032166,-0.0691460445523262,0.6588383913040161,0.3751929700374603,-0.21669992804527283,0.3463267683982849,0.3834213614463806,-0.14654967188835144,0.7352150678634644,0.4255163371562958,-0.450814425945282,0.2613157629966736,0.4309419095516205,-0.3609389662742615,0.7606931328773499,0.433624804019928,-0.49420198798179626,0.23237557709217072,0.4427485167980194,-0.3944240212440491,0.756054162979126,0.43434956669807434,-0.5285216569900513,0.23162975907325745,0.44060906767845154,-0.42816051840782166,0.7450121641159058,0.43409135937690735,-0.47214531898498535,0.24304041266441345,0.4393690824508667,-0.3803216814994812,0.5456886291503906,0.6177103519439697,-0.004986374638974667,0.45320358872413635,0.6075277924537659,0.005397399887442589,0.5417963266372681,0.7455573081970215,-0.4381396174430847,0.4438683092594147,0.7549070715904236,-0.34403088688850403,0.5297786593437195,1.054854393005371,-0.33517059683799744,0.43202298879623413,1.052979588508606,-0.26984572410583496,0.5286831855773926,1.1093131303787231,-0.33293184638023376,0.4380505084991455,1.091837763786316,-0.2705004811286926,0.5335857272148132,1.1705546379089355,-0.5238398313522339,0.42091917991638184,1.15155029296875,-0.45118585228919983
4,177.47382071739486,171.80283392496133,179.49714969229476,178.37747348080464,0.49843278527259827,0.16857923567295074,-0.316734254360199,0.5062180757522583,0.15413828194141388,-0.29215556383132935,0.5110970735549927,0.1556309014558792,-0.29224488139152527,0.515473484992981,0.15756410360336304,-0.2924361824989319,0.4904113709926605,0.15260785818099976,-0.2942052483558655,0.484809547662735,0.1532706618309021,-0.29421862959861755,0.4801461100578308,0.15440671145915985,-0.29418057203292847,0.5226929783821106,0.17746290564537048,-0.15127931535243988,0.4727531373500824,0.1750890165567398,-0.15661700069904327,0.5089403390884399,0.19911304116249084,-0.26519903540611267,0.4882168173789978,0.19690030813217163,-0.266284704208374,0.5680943131446838,0.31814777851104736,-0.0959845706820488,0.4295600950717926,0.31839311122894287,-0.06805349141359329,0.6585633754730225,0.3704040050506592,-0.2044854462146759,0.34615954756736755,0.38058462738990784,-0.12744393944740295,0.7369019389152527,0.4203833341598511,-0.43576574325561523,0.2600340247154236,0.4273754060268402,-0.3036331534385681,0.7618739604949951,0.4274100363254547,-0.4796903133392334,0.23080551624298096,0.4398360848426819,-0.33487606048583984,0.7572780847549438,0.4284038543701172,-0.5147809982299805,0.22997236251831055,0.4371752142906189,-0.378069132566452,0.7467139363288879,0.4286530315876007,-0.45763373374938965,0.2415866106748581,0.4358253479003906,-0.32860875129699707,0.5458946228027344,0.6176986694335938,-0.005617253016680479,0.45302829146385193,0.60673588514328,0.006046566180884838,0.5416374802589417,0.7456281781196594,-0.43566375970840454,0.44221043586730957,0.7693635821342468,-0.34018751978874207,0.5287953019142151,1.0509134531021118,-0.3364185690879822,0.43132075667381287,1.055022120475769,-0.26236751675605774,0.5284889936447144,1.1122208833694458,-0.33461910486221313,0.4371878504753113,1.092956781387329,-0.2628796398639679,0.5331701040267944,1.1708705425262451,-0.5259818434715271,0.4207506775856018,1.1518274545669556,-0.44392451643943787
5,175.16556880936332,171.38959141113176,179.54312090618134,178.13685865260632,0.49843502044677734,0.1672777384519577,-0.3111625909805298,0.5062164664268494,0.15320678055286407,-0.2861551344394684,0.5110595226287842,0.15468749403953552,-0.2862423062324524,0.5153600573539734,0.1566050946712494,-0.28642767667770386,0.4904116690158844,0.15180134773254395,-0.2878817319869995,0.4848376214504242,0.15247872471809387,-0.2878883481025696,0.4802003800868988,0.15359653532505035,-0.2878444790840149,0.5225122570991516,0.17707787454128265,-0.14723274111747742,0.4728546738624573,0.17473450303077698,-0.15397247672080994,0.5090458393096924,0.1977786123752594,-0.2603437602519989,0.48827695846557617,0.1956118941307068,-0.26164036989212036,0.5681927800178528,0.31733769178390503,-0.09131966531276703,0.42955541610717773,0.31822580099105835,-0.06810474395751953,0.6584774255752563,0.3628782629966736,-0.17554888129234314,0.34455573558807373,0.3783864378929138,-0.13425377011299133,0.7390240430831909,0.4124334156513214,-0.36738067865371704,0.2560504674911499,0.4228602647781372,-0.30429792404174805,0.7640600800514221,0.41926151514053345,-0.4057607650756836,0.22660693526268005,0.43545424938201904,-0.33490532636642456,0.7602189779281616,0.4212668836116791,-0.4430122375488281,0.22612830996513367,0.4309210479259491,-0.3784964680671692,0.7500907778739929,0.4224300682544708,-0.38979372382164,0.23766596615314484,0.4287720024585724,-0.32927125692367554,0.5461212396621704,0.6175687313079834,-0.005481812171638012,0.4529690742492676,0.6061776876449585,0.005909806117415428,0.541519820690155,0.745768129825592,-0.42282819747924805,0.4411579668521881,0.7769685387611389,-0.31477537751197815,0.5282670259475708,1.0477955341339111,-0.3384628891944885,0.43090739846229553,1.0574697256088257,-0.25148361921310425,0.5283362865447998,1.1135015487670898,-0.33772704005241394,0.4365689158439636,1.0943129062652588,-0.2529110014438629,0.5323458909988403,1.1756173372268677,-0.524868369102478,0.42057138681411743,1.158011794090271,-0.42437544465065
6,172.79891320266893,173.65265048976738,179.6514437068202,178.3917885244492,0.4985416531562805,0.16649918258190155,-0.35254496335983276,0.5062821507453918,0.15255077183246613,-0.32557177543640137,0.5110606551170349,0.15404579043388367,-0.32565629482269287,0.5153581500053406,0.15598899126052856,-0.32586491107940674,0.4904801845550537,0.15117312967777252,-0.3282148241996765,0.48492488265037537,0.1518392562866211,-0.32820767164230347,0.4802991449832916,0.15294800698757172,-0.328146755695343,0.522484540939331,0.17669111490249634,-0.17872098088264465,0.4729328155517578,0.17422544956207275,-0.18959805369377136,0.5092297792434692,0.19679762423038483,-0.2991441786289215,0.48843058943748474,0.19472162425518036,-0.301912784576416,0.5683099627494812,0.31660163402557373,-0.11217533051967621,0.4295036196708679,0.3175671100616455,-0.0952824205160141,0.6601378917694092,0.3537944257259369,-0.1805078685283661,0.33870089054107666,0.37052616477012634,-0.17284241318702698,0.743026077747345,0.4002147316932678,-0.3737660050392151,0.24872131645679474,0.41040855646133423,-0.3486599624156952,0.7683950662612915,0.403302937746048,-0.4134736657142639,0.21948134899139404,0.4192184805870056,-0.38122373819351196,0.7657055258750916,0.4047885537147522,-0.45190486311912537,0.21923914551734924,0.41414594650268555,-0.4300859868526459,0.7555051445960999,0.4076220691204071,-0.396981418132782,0.22992198169231415,0.4130478799343109,-0.37663087248802185,0.5461559295654297,0.6162137985229492,-0.005374443717300892,0.45279282331466675,0.605035126209259,0.005802846513688564,0.5410915613174438,0.7451139688491821,-0.42944297194480896,0.44200295209884644,0.7652842998504639,-0.3423331379890442,0.5302408933639526,1.0719648599624634,-0.3442717492580414,0.43056219816207886,1.0572757720947266,-0.2653243839740753,0.5273393988609314,1.1139850616455078,-0.34407445788383484,0.4357181489467621,1.094146966934204,-0.2604449689388275,0.5318938493728638,1.175615668296814,-0.5405582785606384,0.4206165373325348,1.157795786857605,-0.44120749831199646
7,171.35902606407586,172.6003597539456,179.45422700034948,178.48737058539896,0.49860844016075134,0.16648830473423004,-0.35132503509521484,0.5063140392303467,0.1522243618965149,-0.3256700932979584,0.5110615491867065,0.15382519364356995,-0.32575398683547974,0.5153591632843018,0.15584620833396912,-0.32596153020858765,0.49048247933387756,0.15079228579998016,-0.3283962607383728,0.4849313795566559,0.15153326094150543,-0.32838982343673706,0.4803065359592438,0.1527390480041504,-0.32832711935043335,0.5224878787994385,0.17653769254684448,-0.18311622738838196,0.47293487191200256,0.17405414581298828,-0.19425377249717712,0.5093919634819031,0.19676481187343597,-0.299368679523468,0.4885183870792389,0.19456683099269867,-0.30220434069633484,0.5684603452682495,0.3158373236656189,-0.12017182260751724,0.4293905794620514,0.3172159492969513,-0.10362394899129868,0.6608309149742126,0.34995973110198975,-0.20140501856803894,0.336955189704895,0.36920496821403503,-0.19697347283363342,0.7435972094535828,0.3956785798072815,-0.3891528248786926,0.24744009971618652,0.40529027581214905,-0.3885994553565979,0.7694358825683594,0.3991120755672455,-0.4290681779384613,0.2180541306734085,0.4128444194793701,-0.42265281081199646,0.7665706276893616,0.40113967657089233,-0.46821364760398865,0.21745821833610535,0.407602995634079,-0.4697556495666504,0.7561445832252502,0.40402650833129883,-0.41292399168014526,0.22788064181804657,0.4070166349411011,-0.41599369049072266,0.5461593866348267,0.6155973076820374,-0.0052957492880523205,0.45250755548477173,0.6043879389762878,0.005729248281568289,0.5409059524536133,0.7457331418991089,-0.4260571002960205,0.441457599401474,0.7722653746604919,-0.3378036320209503,0.530640721321106,1.0786828994750977,-0.3427664339542389,0.4301950931549072,1.0585031509399414,-0.27228933572769165,0.5260964632034302,1.1150789260864258,-0.3422701954841614,0.43558448553085327,1.0954455137252808,-0.27184969186782837,0.5303635001182556,1.1776163578033447,-0.5352101922035217,0.4184568524360657,1.159797191619873,-0.4517253339290619
8,170.68480461650338,172.13749330713375,179.3861212925109,178.72995518123477,0.49873119592666626,0.16642072796821594,-0.3536662459373474,0.5063647031784058,0.15179063379764557,-0.3270249366760254,0.5110644102096558,0.153447687625885,-0.32710665464401245,0.5153599381446838,0.15551066398620605,-0.32732093334198,0.49048668146133423,0.1505415290594101,-0.32961270213127136,0.48493820428848267,0.15140323340892792,-0.3295987844467163,0.4803130030632019,0.15270811319351196,-0.3295290470123291,0.5224911570549011,0.1762162744998932,-0.1814015805721283,0.472930908203125,0.17401528358459473,-0.19240210950374603,0.5096369981765747,0.19662511348724365,-0.3007734417915344,0.48862147331237793,0.19435828924179077,-0.3035999834537506,0.568529486656189,0.31480687856674194,-0.11883129924535751,0.4293181896209717,0.3166598975658417,-0.10130025446414948,0.6619735360145569,0.34543657302856445,-0.20373733341693878,0.335919588804245,0.36514580249786377,-0.21174438297748566,0.7454562187194824,0.3888275921344757,-0.3926081359386444,0.2472861111164093,0.3966590464115143,-0.43136319518089294,0.771943211555481,0.3918825387954712,-0.43456903100013733,0.21810397505760193,0.3985293507575989,-0.47049975395202637,0.7683514952659607,0.39240679144859314,-0.4747157692909241,0.21783754229545593,0.39381781220436096,-0.5151099562644958,0.7575754523277283,0.3961544930934906,-0.41737180948257446,0.2283770591020584,0.3952261507511139,-0.4586385190486908,0.5461587905883789,0.6149747371673584,-0.005249298643320799,0.45215335488319397,0.6036077737808228,0.005686946213245392,0.5408394932746887,0.7476572394371033,-0.4294145107269287,0.4412628710269928,0.7765187621116638,-0.33350712060928345,0.5310947299003601,1.0795272588729858,-0.3418113887310028,0.4297615885734558,1.058716058731079,-0.26361724734306335,0.5256229639053345,1.1149853467941284,-0.34094566106796265,0.43517178297042847,1.095708966255188,-0.2645891606807709,0.5298853516578674,1.1771432161331177,-0.5350079536437988,0.41733869910240173,1.159542441368103,-0.4466739594936371
9,170.96131925695548,170.57220213559813,179.85994887428603,178.92650493930213,0.49882882833480835,0.166548490524292,-0.3972528278827667,0.5063652396202087,0.15183261036872864,-0.36984825134277344,0.5110340714454651,0.15348631143569946,-0.3699246644973755,0.5152409672737122,0.15553611516952515,-0.370148241519928,0.49048179388046265,0.15061041712760925,-0.37349680066108704,0.4849393367767334,0.15160894393920898,-0.3735068738460541,0.48031187057495117,0.15302351117134094,-0.3734460473060608,0.5224446058273315,0.17599192261695862,-0.2167334258556366,0.4729103446006775,0.17409954965114594,-0.23300106823444366,0.509796679019928,0.1967153549194336,-0.34118080139160156,0.48866310715675354,0.19458042085170746,-0.3455609977245331,0.5684977173805237,0.3132786154747009,-0.14283567667007446,0.4288645386695862,0.31562742590904236,-0.13491174578666687,0.662379801273346,0.3389687240123749,-0.206215500831604,0.3318411111831665,0.3561963438987732,-0.23620924353599548,0.7478733658790588,0.3776470720767975,-0.3829065263271332,0.24212336540222168,0.3773447573184967,-0.4436710774898529,0.7753867506980896,0.3797694742679596,-0.4225309491157532,0.21273460984230042,0.3827245831489563,-0.4814736247062683,0.7719670534133911,0.3798742890357971,-0.46313053369522095,0.21389198303222656,0.378457248210907,-0.5292807817459106,0.7604758143424988,0.38312071561813354,-0.40726789832115173,0.2245997190475464,0.37821468710899353,-0.47194862365722656,0.5461583137512207,0.6149680614471436,-0.00523318350315094,0.45180052518844604,0.6037238836288452,0.005654065404087305,0.5408284664154053,0.7491927146911621,-0.43119463324546814,0.44110947847366333,0.7858145833015442,-0.32642918825149536,0.5299127101898193,1.0421510934829712,-0.34166592359542847,0.43003225326538086,1.0632264614105225,-0.2477637082338333,0.5256530046463013,1.1163560152053833,-0.34008336067199707,0.43549495935440063,1.0989322662353516,-0.24829283356666565,0.5298048853874207,1.1793848276138306,-0.533199667930603,0.4181094765663147,1.1644682884216309,-0.43030864000320435
